Unnamed: 0,0,neg,neu,pos,net,netconclude
130,['DEAL Samsung Wireless Charging Pad is 15 10000mAh Fast Battery Pack is 16 galaxys10 '],0,1,0,0,Neutral
131,['Poll Do Your Own a Google Samsung or OnePlus Phone'],0,1,0,0,Neutral
132,['Heres the 2000 ATampT Samsung Galaxy Fold Being Fondled galaxyfold '],0,1,0,0,Neutral
133,['Samsung still offering up to 550 in tradein credit towards the purchase of a Galaxy S10 '],0,0.852,0.148,0.148,Positive
134,['You Still Have Time to Take Advantage of Samsungs 550 Tradein Offer for the Galaxy S10'],0,0.882,0.118,0.118,Positive
135,['Samsung Galaxy S10e Review Yo This is the Phone galaxys10e '],0,1,0,0,Neutral
136,['Samsung Galaxy S10 Review Mostly Excellence Slight Disappointment'],0,0.631,0.369,0.369,Positive
137,['DEAL Samsungs Excellent Galaxy Buds 25 Off at ATampT'],0,0.684,0.316,0.316,Positive
138,['Time probably running out to take advantage of Samsungs really good tradein offer '],0,0.698,0.302,0.302,Positive
139,['Samsungs Good Lock app gets updated to work with Android Pie '],0,0.791,0.209,0.209,Positive
140,['Samsungs Good Lock App Updated to Work With Android Pie'],0,0.756,0.244,0.244,Positive
141,['Report Your Samsung Galaxy Depreciates at Alarming Rate 42 in Month One'],0.12,0.88,0,-0.12,Negative
142,['Samsung is Folding Sht in All the Directions'],0,1,0,0,Neutral
143,[' samsung tho lol']--------------------,0,1,0,0,Neutral
144,['Samsung Now Lets You Remap Bixby Button Just Not to Google Assistant'],0,1,0,0,Neutral
145,['Buying the Galaxy Fold will be unlike most Samsung products '],0,1,0,0,Neutral
146,['Everyone see Samsungs new Galaxy Fold video It shows a lot of the device in action'],0,1,0,0,Neutral
147,['Samsung Releases the Galaxy Fold HandsOn Video You Wanted galaxyfold '],0,1,0,0,Neutral
148,['Samsung Announces Galaxy S10 Family Starting at 900 galaxys10 '],0,1,0,0,Neutral
149,['Samsung Announces New Galaxy Watch Active Galaxy Fit and Galaxy Buds'],0,0.634,0.366,0.366,Positive
150,['Official Specs Samsung Galaxy S10 S10 S10 5G and S10e galaxys10 '],0,1,0,0,Neutral
151,['Here is the Samsung Galaxy Fold galaxyfold '],0,1,0,0,Neutral
152,['Watch Samsungs Galaxy S10 Galaxy Fold Event Live at 11AM Pacific'],0,1,0,0,Neutral
153,['Samsung Galaxy Fold Samsung Galaxy Fold'],0,1,0,0,Neutral
154,['And Heres a Samsung Galaxy S10 Promo Video Leak '],0.231,0.769,0,-0.231,Negative
155,['Samsungs Internet browser gets a big One UI update'],0,1,0,0,Neutral
156,['Samsung Internet Gets One UI Makeover Complete With Dark Mode Support'],0,1,0,0,Neutral
157,['DEAL 300 Off Unlocked Samsung Galaxy Note 9 Today With Code galaxynote9 '],0,1,0,0,Neutral
158,['Samsung Outs Its Entire New Galaxy Wearable Line Early'],0,1,0,0,Neutral
159,['You can already reserve your Galaxy S10 from Samsung '],0,1,0,0,Neutral
160,['Samsungs Galaxy S10 Arrives March 8 Get Up to 550 Off With Trade if You Reserve Now'],0,1,0,0,Neutral
161,['Samsung keeps teasing the fold ']-----,0.206,0.794,0,-0.206,Negative
162,['What Exactly is Samsung Trying to Tease Here'],0.247,0.753,0,-0.247,Negative
163,['A Fresh Clean HighRes Look at Samsungs Galaxy S10 and Galaxy S10e'],0,0.667,0.333,0.333,Positive
164,['Verizon Valentines Deals Arent Awful 300 Off Pixel 3 BOGO Samsung deals '],0,0.816,0.184,0.184,Positive
165,['Samsung and fake Supreme are no longer working together'],0.356,0.403,0.242,-0.114,Negative
166,['Samsung Galaxy S10 Galaxy S10 Stop by the FCC galaxys10 '],0.18,0.82,0,-0.18,Negative
167,['DEAL Samsung Galaxy Note 9 S9 and S9 are 150 Off deals '],0,1,0,0,Neutral
168,['Samsung brings out the cool concepts shows off foldable phone too'],0,0.813,0.187,0.187,Positive
169,['Samsung pulled that concept video but we grabbed some extra screenshots from it'],0,1,0,0,Neutral
170,['Samsung Teases Foldable Phone in Futuristic Concept Video'],0.239,0.761,0,-0.239,Negative
171,['Samsung Galaxy Buds reported to launch with the Galaxy S10 '],0,1,0,0,Neutral
172,['Samsung Just Made a 1TB UFS 21 Chip for Smartphones Probably the Galaxy S10 galaxys10  '],0,1,0,0,Neutral
173,['Samsungs doing a bit better of a job at updating '],0,0.734,0.266,0.266,Positive
174,['Hey Samsung Better Job With Pie Updates so Far'],0,0.734,0.266,0.266,Positive
175,['Samsung Galaxy S9 Gets Android Pie One UI Update on First US Carrier galaxys9 '],0,1,0,0,Neutral
176,['No bueno Samsung']--------------------,0,1,0,0,Neutral
177,['This is Bad Samsung']-----------------,0.538,0.462,0,-0.538,Negative
178,['Jesus Finally Target Will Soon Accept Google Pay Samsung Pay'],0.117,0.667,0.217,0.1,Positive
179,['Heres Everything We Know About Samsungs GalaxyS10 so Far'],0,1,0,0,Neutral
180,['Samsungs 5G Galaxy S10 Might Add an X to Its Name Go Nuts With Specs galaxys10 '],0.133,0.867,0,-0.133,Negative
181,['DEAL Samsung Galaxy Note 9 S9 S9 All 200 Off With Up to 300 Off in Trades deals '],0,1,0,0,Neutral
182,['There has been a ton of different Galaxy phones from Samsung over the years Which one stands out the most to you'],0,1,0,0,Neutral
183,['Well also see a fully functional foldable from Samsung on February 20 '],0,1,0,0,Neutral
184,['10 Years of Samsung Galaxy S Phones Which Stands Out the Most galaxys10 '],0,1,0,0,Neutral
185,['Fully Functional Foldable From Samsung Coming on February 20 Too'],0,1,0,0,Neutral
186,['Samsung is Announcing the Galaxy S10 on February 20 galaxys10 '],0,1,0,0,Neutral
187,['Sprints Samsung 5G Phone is Coming This Summer sprint ces2019 '],0,1,0,0,Neutral
188,['Samsung its time to move on from the curved display'],0,1,0,0,Neutral
189,['I Just Need Samsung to Ditch the Curved Display Now galaxys10 '],0,1,0,0,Neutral
190,['Samsung has another Pie roadmap with Galaxy Note 9 and Note 8 bumped up a month '],0,1,0,0,Neutral
191,['Samsung Provides Different Pie Update Roadmap Galaxy Note 9 and Note 8 Bumped Up a Month'],0,1,0,0,Neutral
192,['Samsungs Pie Update Roadmap Wont Make You Envious of Galaxy Owners'],0,0.846,0.154,0.154,Positive
193,['Samsung is Coming for Googles Night Sight Camera Magic'],0,1,0,0,Neutral
194,['Report Google Assistant Launching on 2019 Samsung Smart TV Lineup'],0,0.769,0.231,0.231,Positive
195,['DEAL Samsung 10000mAh Fast Charge Battery Pack is 1599 19 Off deals '],0,1,0,0,Neutral
196,['Verizon Updates Samsung Galaxy S7 S7 Edge LG V30'],0,1,0,0,Neutral
197,['Samsung is now reevaluating its partnership with fake Supreme'],0.279,0.721,0,-0.279,Negative
198,['DEAL Samsung Drops 300 Off Carrier Galaxy Note 9 250 Off Galaxy S9 galaxynote9 '],0,1,0,0,Neutral
199,['Did Samsung just partner with a knockoff Supreme label to sell stuff in China Yes '],0,0.674,0.326,0.326,Positive
200,['Samsung Embarrassingly Partners With Fake Supreme '],0.433,0.299,0.269,-0.164,Negative
201,['Samsung Galaxy A8s With Infinity O Display Official for China'],0,1,0,0,Neutral
202,['ATampT Announces Another Samsung 5G Device With Better Connectivity 5g '],0,0.775,0.225,0.225,Positive
203,['ATampT says it will carry Samsungs 5G smartphone in early 2019 '],0,1,0,0,Neutral
204,['ATampT Will Also Carry Samsungs 5G Phone Next Year'],0,1,0,0,Neutral
205,['Verizon and Samsung launching 5G phone in first half of 2019 '],0,1,0,0,Neutral
206,['DEAL Samsung Wireless Charger Duo for Just 50 on Amazon 70 Off'],0,0.866,0.134,0.134,Positive
207,['Verizon and Samsung Launching 5G Phone in First Half of 2019 Proof of Concept Coming This Week'],0,1,0,0,Neutral
208,['DEAL Verizon Galaxy Note 9 300 Off Today Only From Samsung GalaxyNote9 '],0,1,0,0,Neutral
209,['Samsungs 12 Days of Deals is Here Save on TVs Phones and Get Free Stuff '],0,0.683,0.317,0.317,Positive
210,['TMobile is giving away Samsung 50 4K TVs in new deal'],0,0.806,0.194,0.194,Positive
211,['Samsung One UI Gets Updated Loads of Bug Fixes Inside'],0,1,0,0,Neutral
212,['Buy a Samsung Galaxy on TMobile Get Free 50 4K Smart TV'],0,0.6,0.4,0.4,Positive
213,['Huawei Beats Samsung to Full Display With Camera Cutout Hole '],0,1,0,0,Neutral
214,['Looks like Project Fi will soon support Samsung OnePlus and iPhone devices '],0,0.679,0.321,0.321,Positive
215,['Verizon Samsung Galaxy Devices LG V40 ThinQ Receive Security Patch Updates'],0,0.806,0.194,0.194,Positive
216,['Samsung Cyber Monday Deals are Live CyberMondayDeals '],0,1,0,0,Neutral
217,['Black Friday 2018 Best Google and Samsung Phone Deals BlackFriday2018 '],0,0.704,0.296,0.296,Positive
218,['Dont sleep on Samsungs BlackFridayDeals'],0,1,0,0,Neutral
219,['Samsung microSD cards are so cheap right now'],0,1,0,0,Neutral
220,['Amazon matches Samsungs big BlackFridayWeek 200 off sale on Note 9 S9 and S9'],0,1,0,0,Neutral
221,['Samsung EVO Select MicroSD Cards are Stupid Cheap Right Now 128GB for 1999 BlackFridayWeek '],0.195,0.805,0,-0.195,Negative
222,['DEAL Amazon Matches Samsungs 200 Off Galaxy S9 S9 and Note 9 Deal BlackFriday2018 '],0,0.884,0.116,0.116,Positive
223,['Samsungs BlackFriday2018 deals are here with up to 300 off Note 9 S9'],0,1,0,0,Neutral
224,['Samsung Black Friday Deals Now Live Up to 300 Off Galaxy Note 9 S9 and S9 BlackFriday2018 '],0,1,0,0,Neutral
225,['Video Tour of Samsungs new One UI on a Galaxy S9 galaxys9 '],0,1,0,0,Neutral
226,['Samsungs One UI Beta with Android Pie goes live for Galaxy S9 S9'],0,1,0,0,Neutral
227,['Samsung is going to annoy you over use of free themes'],0.191,0.592,0.217,0.026,Positive
228,['Video First Look at Samsung One UI Beta on Galaxy S9 galaxys9 '],0,1,0,0,Neutral
229,['Samsung One UI and Pie Beta Program Now Live in the US for S9 galaxys9 '],0,1,0,0,Neutral
230,['Samsung Doesnt Want You Using Free Themes Anymore'],0.116,0.57,0.314,0.198,Positive
231,['Samsung might skip the notch on Galaxy S10 and go with InfinityO'],0,1,0,0,Neutral
232,['DEAL Verizon Galaxy S9 Note 9 are 100 Off From Samsung With 300 Bonus Bundle galaxynote9 '],0,0.811,0.189,0.189,Positive
233,['Here are some display specs for Samsungs foldable Infinity Flex display'],0,1,0,0,Neutral
234,['Heres a pretty Samsung One UI wallpaper for you'],0,0.686,0.314,0.314,Positive
235,['A photo tour of Samsungs new One UI']-,0,1,0,0,Neutral
236,['Samsung has notched displays in the works You OK Samsung fans'],0,0.773,0.227,0.227,Positive
237,['Samsungs new One UI looks pretty is ready for Galaxy S9 and Note 9 beta testers'],0,0.695,0.305,0.305,Positive
238,['And here is Samsungs first foldable display phone'],0,1,0,0,Neutral
239,['Samsung Revealed Infinity Flex Display Specs for Its Foldable Phone'],0,1,0,0,Neutral
240,['You Know You Want That Wallpaper From Samsungs One UI'],0,0.874,0.126,0.126,Positive
241,['Heres a Photo Tour of Samsungs One UI'],0,1,0,0,Neutral
242,['Samsung Who Laughed at Googles Notch is Ready to Introduce Notches Maybe'],0,0.645,0.355,0.355,Positive
243,['Samsung One UI is the Software UX Refresh Weve Been Waiting For'],0,1,0,0,Neutral
244,['Here is Samsungs Foldable Display Device'],0,1,0,0,Neutral
245,['Samsung Experience aka TouchWiz refresh Yes please '],0,0.545,0.455,0.455,Positive
246,['Samsungs Galaxy Home Bixby Speaker Arrives at FCC in Time for Launch Details'],0,1,0,0,Neutral
247,['Watch Samsungs Developer Conference Where We May See a Foldable Phone'],0,1,0,0,Neutral
248,['Were learning more about Samsungs foldable ahead of a potential unveiling this week at SDC '],0,1,0,0,Neutral
249,['Samsung May Launch Android Pie Beta Program During SDC This Week'],0,1,0,0,Neutral
250,['Latest Samsung Foldable Device Report Aligns With Concept Image From 2017'],0,1,0,0,Neutral
251,['Samsung still seems confused on what foldable device will be '],0.187,0.813,0,-0.187,Negative
252,['Samsung Still Seems Confused on Its Foldable Phone But Itll Run Special Android galaxys10 '],0.091,0.714,0.195,0.104,Positive
253,['US Galaxy S10 Lineup Getting Note 10s Live Focus Video AR Doodle in New Update'],0,1,0,0,Neutral
254,['One UI 20 Beta Opened to Galaxy Note 10 Lineup'],0,1,0,0,Neutral
255,['Theres Something Off About These Galaxy Fold Reviews on Best Buy'],0,0.704,0.296,0.296,Positive
256,['Our thoughts after a week with the Galaxy Fold '],0,1,0,0,Neutral
257,['Galaxy Fold Thoughts After a Week of Folding My Phone'],0,1,0,0,Neutral
258,['VIDEO Our Favorite Galaxy Fold Features galaxyfold '],0,0.7,0.3,0.3,Positive
259,['Drop Test Confirms Dont Drop the Galaxy Fold'],0,0.794,0.206,0.206,Positive
260,['Verizon Galaxy S9 S9 Getting September Security Patch'],0,0.745,0.255,0.255,Positive
261,['My Galaxy Fold Display is Not Damaged After a Day galaxyfold '],0,0.806,0.194,0.194,Positive
262,['Verizon Galaxy S8 S8 Note 8 and S10 5G Receive September Security Patch'],0,0.821,0.179,0.179,Positive
263,['Podcast We Have the Galaxy Fold Show kicks off at 1230PM Pacific'],0,1,0,0,Neutral
264,['RT  2 Galaxy Folds gt 4 iPhone 11 Pros lol '],0,0.588,0.412,0.412,Positive
265,['Galaxy S10 Family Picking Up Suite of Note 10 Features in New Update'],0,1,0,0,Neutral
266,['Galaxy Fold Arrives This Week in the US galaxyfold '],0,1,0,0,Neutral
267,['We Crushed 8GB Data on Verizon 5G in 1 Minute With a Galaxy Note 10 5G 5G '],0.157,0.843,0,-0.157,Negative
268,['Verizon Galaxy S10 Note 10 Lineups Updated With September Security Patch'],0,0.806,0.194,0.194,Positive
269,['Android 10 beta for Galaxy S10 Galaxy Note 10 reported to launch next month '],0,1,0,0,Neutral
270,['Pixel 4 XL Gets a Galaxy Note 10 Comparison Already pixel4'],0,1,0,0,Neutral
271,['5 Reasons the Galaxy Note 10 is Worth Buying'],0,0.808,0.192,0.192,Positive
272,['Second Galaxy arrives for Android ']--,0,1,0,0,Neutral
273,['Second Galaxy Available for Android Reminds Me a Lot of EVE Online'],0,1,0,0,Neutral
274,['Android 10 Update for TMobile Galaxy Note 10 Galaxy S10 Already in Testing'],0,1,0,0,Neutral
275,['RT  PSA Public Software Announcement  GalaxyS10 devices getting SW update including bug fixes security updates amp Nigh'],0,0.87,0.13,0.13,Positive
276,['Verizon Galaxy S10 Family Grabs a Fresh Update'],0,0.723,0.277,0.277,Positive
277,['Hole punch wallpapers for your Note 10 are here galaxynote10 '],0,1,0,0,Neutral
278,['Our Galaxy Note 10 review galaxynote10 '],0,1,0,0,Neutral
279,['Cool Wallpapers to Go With Your GalaxyNote10 Camera Cutout'],0,1,0,0,Neutral
