,0,neg,neu,pos,compound
75,['Southwest pulls Boeing Max jets until March in longest US delay yet  '],0.161,0.839,0.0,-0.3182
76,['Verdict due in landmark Indian holy site dispute  '],0.245,0.636,0.118,-0.34
77,['US wants UN to take up Dalai Lama succession Envoy  '],0.0,0.847,0.153,0.2023
78,['USOPC introduces reforms in response to Nassar scandal  '],0.266,0.734,0.0,-0.4404
79,['Trauma outcomes worse with risk factors for heart disease and stroke  '],0.342,0.658,0.0,-0.6369
80,['Celgenes drug for anemia in beta thalassemia priced at US3441 25 mg vial  '],0.0,1.0,0.0,0.0
81,['Uncharted territory as bushfires rage across Australias east  '],0.31,0.69,0.0,-0.5574
82,['Southwest extends Boeing 737 MAX cancellations until early March  '],0.0,0.857,0.143,0.128
83,['FCC orders station groups to negotiate with ATampT in DirecTV dispute  '],0.197,0.803,0.0,-0.4019
84,['Life in Communist East Germany was almost comfortable at times Merkel says  '],0.0,0.8,0.2,0.4601
85,['US Supreme Court to consider blocking  trademark  '],0.213,0.492,0.295,0.25
86,['Safety data on AstraZeneca anemia drug points to potential use in dialysis  '],0.0,1.0,0.0,0.0
87,['Football Ozil Kolasinac attacker jailed for 10 years  '],0.496,0.504,0.0,-0.7845
88,['Basketball Heat lose playmaker Winslow to NBA concussion protocol  '],0.231,0.769,0.0,-0.4019
89,['Big Three hail future stars of mens tennis  '],0.0,0.86,0.14,0.0772
90,['Bloomberg flirts with White House bid in challenge to Biden  '],0.0,0.75,0.25,0.25
91,['More than one in three in Haiti need urgent food aid UN  '],0.0,0.87,0.13,0.2023
92,['Israeli PM appoints new defence minister boosting Likud party  '],0.0,0.519,0.481,0.6705
93,['SampP 500 Dow take a breather on trade deal doubts  '],0.196,0.804,0.0,-0.296
94,['Golf Austrias Schwab leads by one at halfway in Turkish Open  '],0.0,1.0,0.0,0.0
95,['US FDA approves Celgenes rare blood disorder drug  '],0.218,0.565,0.218,0.0
96,['Man jailed for 10 years for armed attack on Arsenal players  '],0.387,0.613,0.0,-0.743
97,['Chilean doctors hit the streets amid violent protests  '],0.453,0.547,0.0,-0.7003
98,['Football Merseyside police give Man City safety assurances for Liverpool clash  '],0.0,0.658,0.342,0.6369
99,['Video game Legends do battle for US1 million  '],0.245,0.755,0.0,-0.3818
100,['Football Balotelli left out of Italy squad by Mancini  '],0.0,1.0,0.0,0.0
101,['US CDC reports breakthrough in vaping lung injury probe as cases top 2000  '],0.169,0.723,0.108,-0.25
102,['Arkansas joins states backing TMobiles deal to buy Sprint  '],0.0,0.891,0.109,0.0258
103,['Activist investor Carl Icahn sells nearly a third of his Occidental Petroleum stake  '],0.0,1.0,0.0,0.0
104,['Madrid and Catalan separatists locked in online battle  '],0.245,0.755,0.0,-0.3818
105,['Assange may die in jail father warns  '],0.469,0.531,0.0,-0.6486
106,['Football Cavani to make first PSG start since August  '],0.0,1.0,0.0,0.0
107,['Trump says unconcerned by hoax impeachment bid as hearings come into public view  '],0.25,0.75,0.0,-0.4588
108,['Lebanese banks face threats Hariri said to want neutral government  '],0.214,0.687,0.099,-0.3612
109,['WeWork exCEO Neumann Softbank sued over botched IPO plummeting value  '],0.0,0.806,0.194,0.34
110,['North Korea says window of opportunity closing for outcome of talks with US  '],0.0,0.823,0.177,0.4215
111,['Chelseas Kante is more than a defensive midfielder says Lampard  '],0.0,0.867,0.133,0.0972
112,['Football Liverpool must be brave in summit clash against Man City says Klopp  '],0.0,0.793,0.207,0.5267
113,['Football Morata recalled to Spain squad Ansu Fati and Ceballos miss out  '],0.118,0.882,0.0,-0.1531
114,['Arsenals Xhaka not in right frame of mind to play Leicester  Emery  '],0.0,0.833,0.167,0.34
115,['Hong Kong vigils for dead student turn to street clashes  '],0.301,0.699,0.0,-0.6486
116,['US to raise age limit for vaping to 21 Trump says ahead of action next week  '],0.0,1.0,0.0,0.0
117,['WATCH Hong Kong protesters start a fire and block roads in Tseung Kwan O as anger against the police deepens after '],0.405,0.595,0.0,-0.872
118,['Tennis Nadal optimistic on fitness ahead of ATP Finals  '],0.0,0.645,0.355,0.5267
119,['Tennis  Young pretenders arrive in force in London  '],0.0,1.0,0.0,0.0
120,['EU embarrassed by incoming foreign policy chiefs Twitter gaffe  '],0.217,0.783,0.0,-0.3612
121,['EU establishes standalone border force  '],0.0,1.0,0.0,0.0
122,['Wall Street treads water as tradefueled rally pauses  '],0.0,1.0,0.0,0.0
123,['Italian court convicts Deutsche Bank Nomura in Monte Paschi derivative trial  '],0.0,1.0,0.0,0.0
124,['Brugge striker Diagne dropped and fined for missing penalty  '],0.394,0.606,0.0,-0.6369
125,['Trump says will issue final decision on vaping product next week  '],0.0,1.0,0.0,0.0
126,['Trump says has not agreed to roll back tariffs on China  '],0.142,0.858,0.0,-0.2057
127,['Woman dies as downpours bring floods across central and northern England  '],0.0,1.0,0.0,0.0
128,['Football No time to cry over injuries says Pochettino  '],0.398,0.602,0.0,-0.6486
129,['Germanys economic pain is here to stay  '],0.32,0.68,0.0,-0.5106
130,['Football Klopp warns Liverpool fans against repeat of senseless Man City attack  '],0.29,0.71,0.0,-0.5423
131,['Football Manchester City goalkeeper Ederson to miss Liverpool clash  '],0.151,0.849,0.0,-0.1531
132,['Zimbabwe suspends South African livestock imports after foot and mouth outbreak  '],0.0,1.0,0.0,0.0
133,['US company directors compensated more than ever but now risk backlash  '],0.194,0.806,0.0,-0.3919
134,['UK police say three boys among Vietnamese truck victims  '],0.204,0.796,0.0,-0.3182
135,['Iranian beauty queen granted asylum in the Philippines  '],0.0,0.547,0.453,0.7003
136,['SampP 500 Nasdaq open lower as tradefueled rally pauses  '],0.196,0.804,0.0,-0.296
137,['When Timur the goat and Amur the tiger became friends they won hearts the world over But it was not meant to be '],0.0,0.833,0.167,0.5267
138,['Billionaires wealth falls for first time since 2015  '],0.0,0.714,0.286,0.4939
139,['Football Celtic and Rangers enjoy European renaissance  '],0.0,0.686,0.314,0.4939
140,['Exclusive Boon for Hong Kong as Alibaba plans US15 billion listing in late November  sources '],0.0,1.0,0.0,0.0
141,['Liverpool must be brave in summit clash against Man City  Klopp  '],0.0,0.764,0.236,0.5267
142,['EUSingapore trade deal set to take effect on Nov 21 after approval from EU Council  '],0.0,0.829,0.171,0.4767
143,['Ailing Pakistan exPM Sharif seeks permission to travel abroad  '],0.0,1.0,0.0,0.0
144,['Japanese women fight for right to wear glasses to work  '],0.206,0.794,0.0,-0.3818
145,['Nadal optimistic on fitness ahead of ATP Finals  '],0.0,0.614,0.386,0.5267
146,['Man found dead after fire in Jurong West flat  '],0.456,0.544,0.0,-0.7717
147,['White House says tariff could be removed if USChina trade deal reached  '],0.0,0.896,0.104,0.1027
148,['Coalreliant Polands ecar push clouded by EU emissions row  '],0.118,0.882,0.0,-0.0516
149,['Belgium hand surprise callup to Cobbaut  '],0.0,0.485,0.515,0.6486
150,['Football AZ Alkmaar duo get first Netherlands call up  '],0.0,1.0,0.0,0.0
151,['Cricket Australia crush Pakistan by 10 wickets in final T20  '],0.138,0.862,0.0,-0.1531
152,['CAF cancels billiondollar contract with Lagardere Sports  '],0.213,0.787,0.0,-0.2263
153,['Ukraine foes set to pull back troops on Saturday  '],0.25,0.75,0.0,-0.4588
154,['Cricket Balbirnie to succeed longserving Porterfield as Ireland captain  '],0.0,0.738,0.262,0.4939
155,['Rugby England to return to Japan for two tests in July  '],0.0,1.0,0.0,0.0
156,['ExUEFA chief Platini taking action to recoup back pay legal fees  '],0.109,0.775,0.116,0.0258
157,['Russian goat who made unlikely friends with tiger dies  '],0.0,0.744,0.256,0.4767
158,['The Permian paradox Texas shale players go green to drill more  '],0.113,0.887,0.0,-0.1027
159,['Football Levantes election pain as keeper called up to work at polling station  '],0.202,0.798,0.0,-0.5106
160,['Indian WhatsApp users ask government to explain ties with Israeli firm in privacy breach case '],0.0,1.0,0.0,0.0
161,['Futures dip as trade worries resurface Disney rises on results  '],0.219,0.781,0.0,-0.4215
162,['Japans Sakurajima volcano erupts in mileshigh plume of ash Kyodo  '],0.0,1.0,0.0,0.0
163,['Why are Republicans hellbent on exposing Trump whistleblower  '],0.208,0.792,0.0,-0.2732
164,['192 scams with fake Lazada and Shopee lucky draws reported this year Police  '],0.333,0.531,0.135,-0.6249
165,['Morata recalled to Spain squad Ansu Fati and Ceballos miss out  '],0.127,0.873,0.0,-0.1531
166,['Wall Street Weekahead Smallcap shares poised to benefit from shift to value  '],0.0,0.484,0.516,0.8225
167,['Threesome rape trial Accused testifies that he believed bound blindfolded victim consented  '],0.474,0.526,0.0,-0.8402
168,['Exclusive Boon for Hong Kong as Alibaba eyes US15 billion late November listing  sources  '],0.0,1.0,0.0,0.0
169,['Exclusive Sudan needs up to US5 billion in budget support to prevent collapse  '],0.178,0.611,0.211,-0.1027
170,['Pompeo warns against China Russia on eve of Berlin Wall anniversary  '],0.113,0.887,0.0,-0.1027
171,['Culture change is the cutting edge of mental health benefits at work  '],0.099,0.728,0.172,0.2732
172,['Chinas top chip maker urges US firms to help ease tensions  '],0.153,0.452,0.395,0.5106
173,['Police searching for man over two hitandrun accidents  '],0.223,0.777,0.0,-0.3182
174,['Italys TIM to expand data centre business under partnership with Google  '],0.0,0.827,0.173,0.3182
175,['RT  Dozens gathered at the carpark in TKO to pay tribute to 22yo Alex Chow who succumbed to his injuries today after falling fr'],0.12,0.88,0.0,-0.25
176,['Korean boyband WINNER set for Singapore comeback  '],0.0,0.607,0.393,0.6739
177,['Rugby  England to return to Japan for two tests in July  '],0.0,1.0,0.0,0.0
178,['EasyJet buys Thomas Cook airport slots at Gatwick and Bristol for US46 million  '],0.0,1.0,0.0,0.0
179,['Temasek names Chia Song Hwee as deputy CEO in raft of management changes  '],0.0,1.0,0.0,0.0
180,['India strips British Modi critic of overseas citizenship  '],0.208,0.792,0.0,-0.2732
181,['Trapped and helpless How families are fighting Delhis pollution horror  '],0.535,0.465,0.0,-0.8481
182,['Bus driver jailed after accident near Tuas Checkpoint left 1 dead  '],0.57,0.43,0.0,-0.891
183,['Levantes election pain as keeper called up to work at polling station  '],0.216,0.784,0.0,-0.5106
184,['Rita Ora AAP Rocky to perform at new Hydeout music festival in Singapore  '],0.0,0.802,0.198,0.4939
185,['Cathay Pacific to allocate half of A321neo order to budget carrier  '],0.0,1.0,0.0,0.0
186,['Poppystealing pigeon offers poignant reminder of war anniversary  '],0.328,0.672,0.0,-0.5994
187,['North Korean defectors decry Souths expulsion of two fishermen  '],0.204,0.796,0.0,-0.3182
188,['Iraqs top Shiite cleric says security forces responsible for keeping protests peaceful  '],0.097,0.408,0.495,0.7783
189,['Three new special education schools to open for students with autism to meet growing demand  '],0.079,0.688,0.233,0.4404
190,['RT  Watch the full  CNA interview with EUs incoming trade chief  on InConversation 15 Nov'],0.0,1.0,0.0,0.0
191,['RT  Cooperation not confrontation That is Europes top trade negotiator Phil Hogans message for US President Trump '],0.0,0.81,0.19,0.4141
192,['S7 million in grants to help food delivery riders trade in escooters following footpath ban '],0.17,0.613,0.217,0.0
193,['RT  The timing is right to strike a deal with China says Europes top trade official We are not afraid of competition in'],0.064,0.858,0.077,0.0772
194,['47yearold grandmother among 94 people arrested for drug offences  '],0.407,0.593,0.0,-0.6705
195,['Exclusive Boon for Hong Kong as Alibabas eyes US15 billion late November listing  sources '],0.0,1.0,0.0,0.0
196,['RT  Just had a 1on1 interview with Phil Hogan EUs incoming trade chief    EU ht'],0.0,1.0,0.0,0.0
197,['RT  Before you go on your 1111 shopping spree check out what this guy has to say Tonight on InConversation 9pm SGHK '],0.0,1.0,0.0,0.0
198,['Cricket Malan Morgan blast England to overwhelming win over New Zealand  '],0.0,0.743,0.257,0.5859
199,['MalanMorgan fireworks help England level T20 series in NZ  '],0.0,0.769,0.231,0.4019
200,['Million more Tokyo 2020 tickets going on sale in new lottery  '],0.0,1.0,0.0,0.0
201,['Chinas Alibaba invests US33 billion in Cainiao raises equity stake to 63  '],0.0,1.0,0.0,0.0
202,['About 1000 homeless people live on Singapores streets Study  '],0.0,1.0,0.0,0.0
203,['China hopes Vietnam does not complicate South China Sea issue  '],0.0,0.781,0.219,0.4215
204,['Indonesia suspects outbreak of African swine fever  '],0.255,0.745,0.0,-0.34
205,['USChina trade war keeps markets on their toes  '],0.328,0.672,0.0,-0.5994
206,['No hard feelings  Captain Woods plumps for Captain America  '],0.135,0.865,0.0,-0.1027
207,['BREAKING Food delivery riders to get up to S1000 in assistance to trade in escooters following ban '],0.175,0.825,0.0,-0.5574
208,['Malaysia to write to India on extradition of controversial preacher Zakir Naik  '],0.13,0.87,0.0,-0.2023
209,['Facebook fights disclosing app records in Massachusetts privacy probe  '],0.231,0.769,0.0,-0.4019
210,['TakeTwos holiday sales forecast overshadows quarterly beat  '],0.0,0.722,0.278,0.4019
211,['About 1000 homeless people live on streets of Singapore according to a new study  '],0.0,1.0,0.0,0.0
212,['Basketball Leonards late surge lifts Clippers Walkers Celtics top Hornets  '],0.0,0.847,0.153,0.2023
213,['Japanese companies likely to spurn Saudi Aramco IPO JXTG president  '],0.0,1.0,0.0,0.0
214,['Motherstobe fear for their unborn babies in smogchoked Delhi  '],0.262,0.738,0.0,-0.4939
215,['Chinas Alibaba invests US33 billion in Cainiao raises equity stake to 63per cent  '],0.0,1.0,0.0,0.0
216,['KFC Singapore will be selling fried chicken skin time to put your diet on hold  '],0.0,1.0,0.0,0.0
217,['Badminton Momota survives to close on 10th badminton title of 2019  '],0.0,1.0,0.0,0.0
218,['Woods confident there will be no Ryder repeat at Presidents Cup  '],0.143,0.649,0.208,0.25
219,['Chinese traditional medicine must be regulated Europe doctors  '],0.0,1.0,0.0,0.0
220,['England call up Bairstow as cover for Denly  '],0.0,1.0,0.0,0.0
221,['Three new special education schools to open for students with autism amid growing demand  '],0.084,0.67,0.246,0.4404
222,['WATCH Hong Kong students hold up signages that read mourning Alex Chow in a rally after an university undergradu '],0.139,0.861,0.0,-0.4404
223,['Uncharted territory as bushfires rage across Australias east  '],0.31,0.69,0.0,-0.5574
224,['With discounts galore and Taylor Swift Alibaba eyes another record Singles Day  '],0.0,0.87,0.13,0.2023
225,['New PSAFiat Chrysler management to try to improve cost savings PSA CEO  '],0.0,0.805,0.195,0.4404
226,['Man locked girlfriends 13yearold daughter with special needs in room sexually assaulted her '],0.188,0.663,0.149,-0.1779
227,['GE unit orders 25 Airbus jets including 12 Rollspowered A330neo sources  '],0.0,1.0,0.0,0.0
228,['Exclusive Alibaba planning launch of US15 billion HK listing for last week of November  sources '],0.0,1.0,0.0,0.0
229,['Billionaires wealth falls for the first time in a decade  '],0.0,0.738,0.262,0.4939
230,['Good progress being made on RTS Malaysia needs time to review some details Vivian Balakrishnan '],0.0,0.843,0.157,0.4215
231,['Alibaba planning launch of US15 billion HK listing for last week of November Sources  '],0.0,1.0,0.0,0.0
232,['Philippines vice president calls for revamped drug war to end senseless killings  '],0.433,0.567,0.0,-0.8555
233,['Jackie Chans trip to Vietnam cancelled over China sea row  '],0.167,0.833,0.0,-0.25
234,['Man blocked parking lot for handicapped then slammed elbow on victims car  '],0.286,0.714,0.0,-0.5267
235,['No hard feelings Captain Woods plumps for Captain America  '],0.135,0.865,0.0,-0.1027
236,['Australia snub Stosur for Fed Cup singles pick Tomljanovic  '],0.237,0.763,0.0,-0.4215
237,['China export drop beats forecasts in October but more pain tipped  '],0.392,0.608,0.0,-0.7535
238,['How China and Russia are becoming BFFs following Trumps US policy  '],0.0,1.0,0.0,0.0
239,['US concerned at Cambodia crackdown as neighbours cooperation decried  '],0.0,1.0,0.0,0.0
240,['7yearold religious student dies in Pahang stepbrother among 3 schoolmates detained  '],0.213,0.787,0.0,-0.4019
241,['Batam pier collapse a result of overcapacity Montigo Resorts  '],0.286,0.714,0.0,-0.4939
242,['Olympics  Placido Domingo pulls out of cultural event cites complexity  '],0.0,1.0,0.0,0.0
243,['Rare permit for Keystone oil pipeline in spotlight after spills  '],0.0,1.0,0.0,0.0
244,['Boxing YouTubers KSI and Paul trade barbs ahead of rematch  '],0.0,1.0,0.0,0.0
245,['Man United brush Partizan aside to reach last 32  '],0.0,0.672,0.328,0.4404
246,['New Zealand public hearings highlight dark history of child abuse  '],0.269,0.577,0.154,-0.4215
247,['Former NYC mayor Bloomberg preparing presidential run Report  '],0.0,1.0,0.0,0.0
248,['US diplomat Trump pressure on Ukraine harmful to rule of law  '],0.167,0.833,0.0,-0.296
249,['Trend in gang crime bombings rock Sweden  '],0.333,0.667,0.0,-0.5423
250,['Trump must pay US2 million for misusing namesake charity NY judge  '],0.099,0.704,0.197,0.34
251,['Greatgreatgrandson of Wounded Knee commander asks for forgiveness  '],0.0,0.792,0.208,0.2732
252,['Keep it simple keep it classic These timepieces are crafted for everyday use  '],0.0,1.0,0.0,0.0
253,['Romania presidential hopefuls court crucial emigrant vote  '],0.0,1.0,0.0,0.0
254,['Anger over Las Vegas ban on sleeping in streets  '],0.286,0.714,0.0,-0.5574
255,['BATAM BRIDGE COLLAPSE This is the spot where 26 Singaporeans were injured after a wooden bridge collapsed at Monti '],0.353,0.647,0.0,-0.8286
256,['Facebook apologises after links to The Independent Singapore blocked in error  '],0.308,0.577,0.115,-0.4588
257,['Ibrahimovic set for AC Milan return says MLS chief  '],0.0,1.0,0.0,0.0
258,['Al Hilal determined to end Asian title drought  '],0.0,0.769,0.231,0.34
259,['Football Familiar foe Sterling the prime threat to Liverpools title charge  '],0.387,0.613,0.0,-0.743
260,['4 men arrested for circulating obscene materials on Telegram  '],0.463,0.537,0.0,-0.7845
261,['Do the conga Gloria Estefan musical coming to Singapore in 2020  '],0.0,1.0,0.0,0.0
262,['Indonesias Lion Air finds cracks in two 737 NGs with fewer flights than FAA safety directive '],0.0,0.851,0.149,0.4215
263,['Football Wembley sellout proves boom time for womens football in England  '],0.0,1.0,0.0,0.0
264,['Football PSG hail Navas as bitter rivals Marseille and Lyon clash  '],0.199,0.709,0.092,-0.3612
265,['Volkswagen CEO says SAIC VW plant in Shanghai starts trial production  '],0.0,1.0,0.0,0.0
266,['Hong Kong girds for more protests after student dies  '],0.196,0.804,0.0,-0.2944
267,['Survivors cling to hope in Paradise year after Californias deadliest wildfire  '],0.0,0.585,0.415,0.7964
268,['NBA docks Clippers US50k for Rivers Leonard injury comments  '],0.237,0.763,0.0,-0.4215
269,['Batam bridge collapse 26 Singaporeans from MENDAKI injured during company retreat  '],0.353,0.539,0.108,-0.6249
270,['Ukraine foes to pull back troops ahead of Russia summit  '],0.231,0.769,0.0,-0.4588
271,['Where can you get premium Kumamoto Black Wagyu beef for S58  or for free  '],0.0,0.809,0.191,0.5106
272,['The smart travellers guide to a happy  and hasslefree  family holiday this yearend  '],0.0,0.524,0.476,0.8442
273,['China calls Hong Kong protesters mobsters after stabbing  '],0.192,0.808,0.0,-0.2263
274,['Man Uniteds attacking trio gives Solskjaer reason for optimism  '],0.207,0.552,0.241,0.128
275,['NTUC to raise retirement reemployment ages ahead of national schedule  '],0.0,1.0,0.0,0.0
276,['Hong Kong student who fell during weekend protests dies  '],0.174,0.826,0.0,-0.2263
277,['Japan seizes record 400kg of cocaine at port  '],0.0,1.0,0.0,0.0
278,['Cycling British 82yearold makes his million in the saddle  '],0.0,1.0,0.0,0.0
279,['Golf Tiger Woods selects himself as one of four captains picks for US team  '],0.0,1.0,0.0,0.0
280,['Quake in northwestern Iran kills 4 injures 70 Report  '],0.304,0.696,0.0,-0.5423
281,['Helen Mirren is not dating Keanu Reeves but she finds the notion very flattering  '],0.0,0.805,0.195,0.5251
282,['Citi Deutsche get goahead to probe regulator witnesses in landmark cartel case  '],0.0,0.902,0.098,0.0772
283,['Pierre Png and Andrea De Cruzs Christmas tradition for lonely friends who need family  '],0.134,0.699,0.167,0.1531
284,['WhatsApp adds shopping catalog feature courting ecommerce  '],0.0,1.0,0.0,0.0
285,['Top Brazil court ends early prison rule decision could free Lula  '],0.199,0.602,0.199,0.0
286,['Late goal gives Flamengo 10 win over city rivals Botafogo  '],0.0,0.725,0.275,0.5859
287,['Sears says it has secured a US250 million lifeline will close 96 stores  '],0.0,0.816,0.184,0.4019
288,['Mexico Mormons live under threat of narco violence  '],0.517,0.483,0.0,-0.8176
289,['Anger on campus Behind the student protests that have rocked Indonesia  '],0.147,0.853,0.0,-0.2263
290,['US Justice Department issues subpoenas to automakers in California emissions probe  '],0.0,0.764,0.236,0.5267
291,['Democratic lawmakers question FAA decisions on Boeing safety issues  '],0.0,0.763,0.237,0.4215
292,['Chasing shadows in China Detained lawyers wife battles on  '],0.398,0.602,0.0,-0.6486
293,['Woods selects himself as one of four captains picks for US team  '],0.0,1.0,0.0,0.0
294,['Wall Street investors slam Warrens policies  '],0.302,0.698,0.0,-0.3818
295,['Rollback of China tariffs faces fierce opposition in White House Sources  '],0.0,1.0,0.0,0.0
