,0,neg,neu,pos,net
49,['Samsung Galaxy Watch Active 2 release date set for UK  and its ahead of the US  '],0.0,0.847,0.153,-0.153
50,['The next Samsung 5G phone could be the Galaxy A90  '],0.0,1.0,0.0,0.0
51,['Is Samsung going to sneak in a Galaxy Fold relaunch before Apple can debut the iPhone 11  '],0.0,1.0,0.0,0.0
52,['Samsungs Galaxy Fold could relaunch next week ending months of delays '],0.0,1.0,0.0,0.0
53,['This is exactly why your Samsung Galaxy Note 10 needs a case  '],0.0,1.0,0.0,0.0
54,['iPhone 11 could have its own competitor to Samsungs Live Focus Video  '],0.0,1.0,0.0,0.0
55,['Samsung Galaxy Home release date hopes finally raised by beta rollout '],0.0,0.797,0.203,-0.203
56,['The end of OLED TVs How Samsungs QDOLED hybrid could shake up the market  '],0.108,0.892,0.0,0.108
57,['Fast charging tipped to be one of the key features of the Samsung Galaxy A90  '],0.0,1.0,0.0,0.0
58,['4 12 s Our Samsung Galaxy Note 10 Plus review  '],0.0,1.0,0.0,0.0
59,['The S Pen was always more than the little plasticandrubber sticks that with olds PDAs but this time Samsung has '],0.0,1.0,0.0,0.0
60,['If the iPhone Pro exists itll be a XXL version of the Apple phone Would that challenge Samsungs success with '],0.0,0.783,0.217,-0.217
61,['Microsoft admits the Windows 10 Your Phone app works best with Samsung Galaxy Note 10  '],0.0,0.686,0.314,-0.314
62,['Samsung Galaxy Note 10 Plus ongoing camera review and the first 72 hours  '],0.0,1.0,0.0,0.0
63,['How to disable Bixby on your Samsung phone and Samsung TV  '],0.0,1.0,0.0,0.0
64,['Our initial thoughts on the Samsung Galaxy Note 10  '],0.0,1.0,0.0,0.0
65,['Leaks suggest graphene will supercharge future Samsung phone batteries  '],0.0,1.0,0.0,0.0
66,['Lets take a look at those iPhone Pro rumors and how they may affect Samsung shall we  '],0.0,1.0,0.0,0.0
67,['RT  My first 24 hours w Samsung Galaxy Note 10 on  Loving almost everything especially the three camera perspectiv'],0.0,0.813,0.187,-0.187
68,['Samsung phone leak points to whopping 108MP camera  but is it real  '],0.124,0.876,0.0,0.124
69,['Samsung Galaxy Tab A 105 2018 review  '],0.0,1.0,0.0,0.0
70,['Samsung Galaxy Note 10 Plus unboxing and first 24 hours  '],0.0,1.0,0.0,0.0
71,['Samsung Galaxy A10 is about to receive a newer better sibling  '],0.0,0.775,0.225,-0.225
72,['New Samsung phone battery tech could be a huge boost to Galaxy S12  '],0.0,0.688,0.312,-0.312
73,['Samsung Galaxy Watch Active 2 vs Apple Watch 4 which smartwatch is for you  '],0.0,0.816,0.184,-0.184
74,['Move over 64MP Samsung unveils 108MP camera sensor destined for Xiaomi phone  '],0.0,1.0,0.0,0.0
75,['Samsung Galaxy Book S vs Microsoft Surface Pro 6  '],0.0,1.0,0.0,0.0
76,['Hands on Samsung Galaxy Book S review  '],0.0,1.0,0.0,0.0
77,['Samsung Galaxy S11s chipset may have just been benchmarked  '],0.0,1.0,0.0,0.0
78,['Samsung Galaxy Note 10 isnt for you if youre into mobile virtual reality  '],0.0,1.0,0.0,0.0
79,['Samsungs biggest phone yet  in more ways than one '],0.0,1.0,0.0,0.0
80,['If you want an Apple Watch but dont have an iPhone then your best bet might be the Samsung Galaxy Watch Active 2 '],0.0,0.656,0.344,-0.344
81,['Heres every official detail on Samsungs new laptop the Samsung Galaxy Book S  '],0.0,1.0,0.0,0.0
82,['Developing our first take on the Samsung Galaxy Book S  '],0.0,1.0,0.0,0.0
83,[' Or maybe Drake shows up to announce a Samsung streaming service'],0.0,1.0,0.0,0.0
84,['RT  The Galaxy Watch Active 2 does a cameo alongside the GalaxyNote10 at the SamsungEvent '],0.0,0.828,0.172,-0.172
85,['RT  This is how AR Doodle looks on the Samsung Galaxy Note 10 Plus Its sort of like Instagram or Snapchat filters but you make'],0.0,0.937,0.063,-0.063
86,['Samsungs built a smaller Galaxy Note 10 and we can tell you all about it '],0.0,1.0,0.0,0.0
87,['Shh Its starting samsungunpacked2019 '],0.0,1.0,0.0,0.0
88,['SamsungUnpacked kicks off in just minutes Ready to see the Galaxy Note 10 for the first time So are we '],0.0,0.889,0.111,-0.111
89,['Which new Samsung device are you most looking forward to '],0.0,1.0,0.0,0.0
90,['The SamsungEvent kicks off in one hour Brace yourselves for the muchanticipated Note 10Follow Samsungs lives '],0.0,1.0,0.0,0.0
91,['Heres what were hoping to see from this supposed Samsung Galaxy Book S at the SamsungEvent in a little while '],0.0,0.865,0.135,-0.135
92,['A monstersized 68inch Galaxy Note 10 could be revealed during todays SamsungEvent Are your hands  big enough for it  '],0.0,1.0,0.0,0.0
93,['Samsung Galaxy Note 10 official photo and specs leaked  '],0.204,0.796,0.0,0.204
94,['Samsungs nextgeneration SSDs promise blazingfast speeds  '],0.0,0.723,0.277,-0.277
95,['Samsung Galaxy Note 10 range leaked three times over including by Samsung itself  '],0.15,0.85,0.0,0.15
96,['Samsung Galaxy Tab S6 vs iPad Pro 2018 clash of the professional tablets  '],0.0,1.0,0.0,0.0
97,['JUST ANNOUNCED Samsung Galaxy Watch Active 2 has a rotating bezel that doesnt rotate  '],0.0,0.816,0.184,-0.184
98,['Samsung Galaxy Note 10 price might not be any higher than Note 9  '],0.0,1.0,0.0,0.0
99,['Samsung Galaxy Tab S6 is official and could be a true iPad Pro rival  '],0.0,0.823,0.177,-0.177
100,['Images of Samsungs upcoming Galaxy Book S laptop leak out  '],0.211,0.789,0.0,0.211
101,['These could be the names of the 2020 Samsung Galaxy Aseries phones  '],0.0,1.0,0.0,0.0
102,['Samsung Galaxy Note 10 Plus 5G version could go on sale on August 23  '],0.0,1.0,0.0,0.0
103,['Samsung Galaxy Note 10 colors leak shows less exciting options than Note 9  '],0.147,0.675,0.178,-0.031
104,['New Samsung Galaxy Note 10 leak all but confirms lack of headphone jack '],0.279,0.721,0.0,0.279
105,['Planning on buying a new Samsung device With 256GB of memory for the price of 64 this Samsung Galaxy S9 Plus deal '],0.0,1.0,0.0,0.0
106,['Samsung Galaxy Tab S6 vs Samsung Galaxy Tab S4 is the new pro tablet worth the full price  '],0.0,0.905,0.095,-0.095
107,['Latest Samsung Galaxy Watch Active 2 leaks give us the best look at it yet  '],0.0,0.653,0.347,-0.347
108,['8K could soon be the new normal for Samsung TVs  '],0.0,1.0,0.0,0.0
109,['Samsung Galaxy Tab S6 live stream how to watch the big tablet launch live  '],0.0,1.0,0.0,0.0
110,['Samsungs giving us a couple of early gifts ahead of the Note 10 launch on Aug 7 Today well see a new Galaxy Tab '],0.0,0.816,0.184,-0.184
111,['OnePlus 7 Pro 5G beats Samsung Oppo and LG in speed tests  '],0.0,1.0,0.0,0.0
112,['Samsung Galaxy Note 10 Plus confirmed by Samsung itself  '],0.0,1.0,0.0,0.0
113,['The Samsung Galaxy Fold is bound for September  at least in some places  '],0.0,1.0,0.0,0.0
114,['Samsung Galaxy Watch Active update will make it easier to use  '],0.0,0.645,0.355,-0.355
115,['Samsung Galaxy Note 10 could have a smarter camera than Galaxy S10  '],0.0,0.786,0.214,-0.214
116,['Samsung Galaxy Fold release date the fixed version will launch in September  '],0.0,1.0,0.0,0.0
117,['Samsung Q60R QLED TV review Samsungs flagship screens without the flagship performance  '],0.0,0.797,0.203,-0.203
118,['Samsung Galaxy Watch Active 2 leak hints its coming earlier than expected  '],0.159,0.662,0.179,-0.01999999999999999
119,['Samsung Galaxy Note 10 Plus may have five rear cameras Note 10 just three  '],0.0,1.0,0.0,0.0
120,['Samsung Galaxy Note 10 Pro sounds allpowerful in this new specs leak  '],0.167,0.833,0.0,0.167
121,['New Samsung Note 10 rumor suggests Zoom Audio and stylus gesture control  '],0.0,1.0,0.0,0.0
122,['Samsung Galaxy Space could be the companys next 2in1 laptop  '],0.0,1.0,0.0,0.0
123,['Our review of the Samsung Galaxy A80  Samsungs new midrange smartphone with a novel popup camera panel '],0.0,0.874,0.126,-0.126
124,['Samsung Galaxy Tab S6 leak offers more proof of rearmounted magnetic S Pen  '],0.167,0.833,0.0,0.167
125,['Samsung Galaxy S11 camera looks increasingly likely to get allnew 64MP sensor  '],0.0,1.0,0.0,0.0
126,['Samsung Galaxy Note 10 may miss out on this new gamingfocused chipset  '],0.118,0.882,0.0,0.118
127,['These Vizio Yamaha and Samsung soundbar deals kick off Prime Day 2  '],0.0,1.0,0.0,0.0
128,['Samsung could still be planning to launch a pair of augmented reality specs  '],0.0,1.0,0.0,0.0
129,['Samsung Galaxy Watch Active 2 leaked in official render  '],0.192,0.583,0.225,-0.033
130,['Rumors suggest the Samsung Galaxy Watch 2 is coming later this year  heres what we know so far '],0.0,1.0,0.0,0.0
131,['Samsung may release Galaxy Watch 2 before the Watch Active 2 after all  '],0.0,0.803,0.197,-0.197
132,['Samsung may be about to launch an ultracheap tablet to rival Amazons Fire range  '],0.212,0.788,0.0,0.212
133,['Samsung Galaxy S10 vs S10 Plus vs S10e which Samsung flagship will suit your needs  '],0.0,0.915,0.085,-0.085
134,['Leaked Samsung Galaxy Watch Active 2 images show barely any changes  '],0.0,0.787,0.213,-0.213
135,['Samsung Galaxy Watch Active 2 may have two major Apple Watch 4 features  '],0.0,0.803,0.197,-0.197
136,['Samsung is getting sued by the Australian consumer watchdog for its misleading Galaxy phones ads '],0.153,0.847,0.0,0.153
137,['Will Nvidia join the 7nm party next year 7nm Nvidia GPUs could come in 2020 through partnership with Samsung '],0.0,0.786,0.214,-0.214
138,['Samsung Galaxy Fold has apparently been fixed  '],0.0,1.0,0.0,0.0
139,['Samsung finally bringing Night photo mode to US Galaxy S10 phones  '],0.0,1.0,0.0,0.0
140,['Samsung launches a Bixby marketplace for Alexastyle voice commands  '],0.0,1.0,0.0,0.0
141,['Samsung CEO admits the Galaxy Fold was released before it was ready  '],0.0,0.701,0.299,-0.299
142,['The Galaxy Fold release date is still unconfirmed as Samsung CEO asks give us a little more time '],0.081,0.919,0.0,0.081
143,['This is what the Samsung Galaxy Watch Active 2 could look like  '],0.0,0.658,0.342,-0.342
144,['Galaxy Watch has reinvigorated the Tizen smartwatch range Congrats  for securing the Best Wearable at '],0.0,0.484,0.516,-0.516
145,['The Galaxy Fold is the most forwardthinking phone you shouldnt buy  '],0.0,1.0,0.0,0.0
146,['Anything can take down the Galaxy Fold  keys water sand credit cards or coins lodged in the middle of the folde '],0.0,0.89,0.11,-0.11
147,['Get an extra 50 off the Galaxy Tab S6 with Currys tablet tradein deal ad  '],0.0,1.0,0.0,0.0
148,['Our writers brandnew Galaxy Note 10 was too beautiful for this world  '],0.0,0.755,0.245,-0.245
149,['iPhone 11 could have competitor to Galaxy Note 10s Live Focus Video  '],0.0,1.0,0.0,0.0
150,['Another year another Galaxy Note Heres how this years device changed in the last year  '],0.0,1.0,0.0,0.0
151,['So to recap todays GalaxyNote10 event thatsGalaxy Note 10 for 949Galaxy Note 10 for 1099Note 10 5 '],0.0,1.0,0.0,0.0
152,['Todays Galaxy Note event was a rollercoaster '],0.0,1.0,0.0,0.0
153,['RT  Live Focus Video on the Galaxy Note 10 allows for a bokeh mode on well live video Heres how it looks '],0.0,0.909,0.091,-0.091
154,['New Galaxy Note 10 and Note 10 Plus checkinHuge phones  Huge screens   Huge power  Huge storage  '],0.0,0.67,0.33,-0.33
155,['New images of the upcoming Galaxy Watch Active 2 leak out  '],0.17,0.638,0.191,-0.02099999999999999
156,['The Galaxy Watch Active 2 is on its way soon '],0.0,0.769,0.231,-0.231
157,['Leaked Galaxy Note 10 and Note 10 Pro case photos highlight their differences  '],0.0,0.844,0.156,-0.156
158,['Google Pixel 4 XL handson reveals a better camera than the S10 Plus  '],0.0,0.791,0.209,-0.209
159,['Loki TV show everything we know so far about the Disney Plus series '],0.0,1.0,0.0,0.0
160,['These are the best Chromebooks of 2019 so far '],0.0,0.682,0.318,-0.318
161,['The Google Pixebook Go is the best Chromebook for the rest of us '],0.0,0.756,0.244,-0.244
162,['If you want the gold standard of a Chromebook its got to be the Pixelbook Go '],0.0,0.92,0.08,-0.08
163,['These are our favorite Chromebooks and by favorite we mean the best  '],0.0,0.495,0.505,-0.505
164,['Chromebooks dont run Windows OS but theres plenty you can do with them Plus they cost less  '],0.0,1.0,0.0,0.0
165,['These are the Chromebooks that the upcoming Pixelbook Go are up against  '],0.0,1.0,0.0,0.0
166,['Should you buy a Chromebook We have some thoughts  '],0.0,1.0,0.0,0.0
167,['Introducing the Google Pixel Go A smaller lighter take Chromebook with an estimated 12hour battery life and spec '],0.0,1.0,0.0,0.0
168,['Handson Pixelbook Go images reveal the upcoming Chromebook in full '],0.0,1.0,0.0,0.0
169,['Heres why you shouldnt buy a new Chromebook just yet '],0.0,1.0,0.0,0.0
170,['Weve been tracking the rumored Google Hatch Chromebook and so should you  '],0.0,1.0,0.0,0.0
171,['HP drops stylish new Chromebook x360 models with stylus support  '],0.0,0.787,0.213,-0.213
172,['Pixelbook Go could be Googles next Chromebook with a 13inch 4K display  '],0.0,1.0,0.0,0.0
173,['Weve dug up all the scuttlebutt we could find on Googles next rumored Chromebook  '],0.0,1.0,0.0,0.0
174,['Is your Chromebook telling you to upgrade Dont worry Google says its a bug  '],0.0,0.844,0.156,-0.156
175,['Some of Acers best Chromebooks score new processors and slimmer bezels  '],0.0,0.724,0.276,-0.276
176,['A luxe Lenovo Chromebook leads new lineup of laptops desktops and monitors  '],0.0,1.0,0.0,0.0
177,['If youre in need of a Chromebook weve probably got a hardtested recommendation for your specific needs '],0.0,1.0,0.0,0.0
178,['Theres been a ton of deals on Chromebooks for PrimeDayAmazon so weve updated our ongoing list of the Best Chrom '],0.0,0.819,0.181,-0.181
179,['Chromebooks are already affordable so these PrimeDay deals are ridiculous   '],0.2,0.8,0.0,0.2
180,['These are the best Chromebooks weve tested in recent memory  '],0.0,0.704,0.296,-0.296
